timestamp,bid,ask,imbalance,quoted_spread,bid_q,ask_q,inventory,pnl,pnl_base
1767078935219937006,9605,9630,-0.75,-5,9610,9605,-1,-12.5,0.0
1767078937217835464,9595,9600,0.5,5,9595,9600,-1,7.5,0.0
1767078938221286495,9595,9600,0.0,5,9595,9600,-1,7.5,0.0
1767078939219472413,9580,9595,-0.14285714285714285,5,9585,9590,-1,17.5,0.0
1767078940223771963,9575,9595,-0.6363636363636364,-5,9580,9575,-2,10.0,0.0
1767078941186273849,9575,9585,-0.8,0,9575,9575,-3,15.0,0.0
1767078942221431554,9575,9590,-0.8461538461538461,0,9575,9575,-4,0.0,0.0
1767078943221603718,9585,9605,-0.7142857142857143,0,9585,9585,-5,-60.0,0.0
1767078945224021314,9585,9595,-0.8,999990415,9585,1000000000,-5,-35.0,0.0
1767078946223561447,9605,9630,-0.36,999990390,9610,1000000000,-5,-172.5,0.0
1767078947205860629,9615,9640,-0.6521739130434783,999990380,9620,1000000000,-5,-222.5,0.0
1767078948224458968,9595,9620,-0.625,999990400,9600,1000000000,-5,-122.5,0.0
1767078950218022051,9655,9675,-0.3333333333333333,999990340,9660,1000000000,-5,-410.0,0.0
1767078951222314322,9615,9630,-0.3333333333333333,999990380,9620,1000000000,-5,-197.5,0.0
1767078952224237898,9625,9640,-0.7777777777777778,999990375,9625,1000000000,-5,-247.5,0.0
1767078958223654856,9640,9660,-0.14285714285714285,999990355,9645,1000000000,-5,-335.0,0.0
1767078959223143101,9630,9645,0.6,999990365,9635,1000000000,-5,-272.5,0.0
1767078960223629725,9625,9645,0.3333333333333333,999990370,9630,1000000000,-5,-260.0,0.0
1767078961221544832,9615,9635,-0.875,999990385,9615,1000000000,-5,-210.0,0.0
1767078962206527390,9610,9620,0.0,999990385,9615,1000000000,-5,-160.0,0.0
1767078963218982364,9600,9605,0.0,999990400,9600,1000000000,-5,-97.5,0.0
1767078964169390482,9600,9605,0.08333333333333333,999990400,9600,1000000000,-5,-97.5,0.0
1767078965199093501,9600,9615,0.6923076923076923,999990385,9615,1000000000,-4,-130.0,0.0
1767078966217125944,9600,9610,-0.5294117647058824,10,9600,9610,-4,-120.0,0.0
1767078967205495175,9585,9600,0.2,5,9590,9595,-4,-70.0,0.0
1767078968214722050,9600,9620,0.6,10,9605,9615,-4,-140.0,0.0
1767078970203397877,9620,9645,-0.5833333333333334,10,9625,9635,-4,-230.0,0.0
1767078971202218535,9620,9640,-0.3333333333333333,10,9625,9635,-4,-220.0,0.0
1767078972094761205,9635,9650,0.5,10,9640,9650,-4,-270.0,0.0
1767078973224506553,9650,9665,0.6,10,9655,9665,-4,-330.0,0.0
1767078975209353493,9660,9685,-0.16666666666666666,5,9670,9675,-4,-390.0,0.0
1767078976224321303,9695,9715,-0.5,10,9700,9710,-4,-520.0,0.0
1767078977221799291,9690,9715,0.8181818181818182,0,9715,9715,-3,-522.5,0.0
1767078978224224367,9700,9720,-0.5,10,9705,9715,-3,-545.0,0.0
1767078979219627462,9710,9730,0.6,10,9715,9725,-3,-575.0,0.0
1767078980223895311,9720,9745,-0.14285714285714285,5,9730,9735,-3,-612.5,0.0
1767078982224127418,9750,9775,-0.5555555555555556,10,9755,9765,-3,-702.5,0.0
1767078983224139146,9750,9775,-0.47368421052631576,10,9755,9765,-3,-702.5,0.0
1767078984221558014,9730,9755,0.6470588235294118,-5,9755,9750,-2,-655.0,0.0
1767078985214595067,9740,9750,-0.6666666666666666,0,9740,9740,-3,-665.0,0.0
1767078986201948893,9720,9735,0.7142857142857143,0,9735,9735,-2,-620.0,0.0
1767078987197973324,9720,9730,0.0,5,9725,9730,-2,-615.0,0.0
1767078988123708293,9700,9720,0.5294117647058824,10,9705,9715,-2,-585.0,0.0
1767078989224533550,9705,9725,0.16666666666666666,10,9710,9720,-2,-595.0,0.0
1767078990224220569,9700,9725,0.29411764705882354,5,9710,9715,-2,-590.0,0.0
1767078991199681770,9730,9745,-0.8823529411764706,0,9730,9730,-3,-647.5,0.0
1767078993221711149,9720,9745,0.2,5,9730,9735,-3,-632.5,0.0
1767078994222131293,9715,9725,0.8,0,9725,9725,-2,-600.0,0.0
1767078995224507305,9740,9750,0.0,5,9745,9750,-2,-650.0,0.0
1767078996217406501,9735,9750,0.3333333333333333,5,9740,9745,-2,-645.0,0.0
1767078997222988783,9730,9750,-0.5,10,9735,9745,-2,-640.0,0.0
1767078998156040587,9735,9745,0.0,5,9740,9745,-2,-640.0,0.0
1767078998156040587,9735,9745,0.0,5,9740,9745,-2,-640.0,0.0
1767079000201660050,9750,9770,0.3333333333333333,10,9755,9765,-2,-680.0,0.0
1767079000201660050,9750,9770,0.3333333333333333,10,9755,9765,-2,-680.0,0.0
1767079002199594695,9745,9765,-0.1111111111111111,10,9750,9760,-2,-670.0,0.0
1767079003223660270,9740,9760,0.68,0,9760,9760,-1,-670.0,0.0
1767079004222625348,9755,9760,0.3333333333333333,5,9755,9760,-1,-677.5,0.0
1767079005223100143,9790,9820,-0.3333333333333333,10,9800,9810,-1,-725.0,0.0
1767079006217179229,9795,9810,-0.5,10,9795,9805,-1,-722.5,0.0
1767079007223511213,9805,9830,-0.8,0,9805,9805,-2,-750.0,0.0
1767079008215457810,9805,9825,-0.25,10,9810,9820,-2,-745.0,0.0
1767079009223538055,9770,9790,0.42857142857142855,10,9775,9785,-2,-675.0,0.0
1767079010217186692,9775,9790,-0.5,10,9775,9785,-2,-680.0,0.0
1767079011179546449,9770,9790,-0.42857142857142855,10,9775,9785,-2,-675.0,0.0
1767079012220133028,9760,9785,-0.4782608695652174,10,9765,9775,-2,-660.0,0.0
1767079013224172802,9755,9775,-0.6,10,9760,9770,-2,-645.0,0.0
1767079014224354195,9725,9740,0.5555555555555556,10,9730,9740,-2,-580.0,0.0
1767079015199984097,9745,9765,-0.5555555555555556,10,9750,9760,-2,-625.0,0.0
1767079016224062145,9750,9775,-0.6551724137931034,-5,9755,9750,-3,-652.5,0.0
1767079017210191461,9745,9755,-0.75,0,9745,9745,-4,-620.0,0.0
1767079018224047445,9700,9715,0.9444444444444444,0,9715,9715,-3,-457.5,0.0
1767079019215922713,9700,9720,0.6923076923076923,0,9720,9720,-2,-475.0,0.0
1767079020215362417,9730,9755,0.2727272727272727,5,9740,9745,-2,-540.0,0.0
1767079021214438677,9725,9750,0.3333333333333333,10,9735,9745,-2,-530.0,0.0
1767079022213840846,9745,9770,-0.06666666666666667,5,9755,9760,-2,-570.0,0.0
1767079023270224927,9745,9760,0.6666666666666666,0,9760,9760,-1,-567.5,0.0
1767079024220836851,9745,9770,0.6842105263157895,-5,9770,9765,0,-585.0,0.0
1767079026224178549,9730,9745,0.3333333333333333,5,9735,9740,0,-585.0,0.0
1767079027208530411,9745,9765,-0.6666666666666666,0,9745,9745,-1,-595.0,0.0
1767079028220986841,9745,9755,0.5,10,9745,9755,-1,-590.0,0.0
1767079029223572902,9715,9720,0.6,5,9715,9720,-1,-557.5,0.0
1767079030211343824,9740,9755,0.6666666666666666,0,9755,9755,0,-595.0,0.0
1767079031222206527,9720,9730,0.7142857142857143,0,9730,9730,1,-600.0,0.0
1767079032219650767,9730,9755,-0.3333333333333333,10,9735,9745,1,-582.5,0.0
1767079033199410968,9730,9755,-0.25,5,9740,9745,1,-582.5,0.0
1767079034171992888,9725,9750,0.75,-5,9750,9745,2,-600.0,0.0
1767079035214184963,9740,9760,-0.42857142857142855,10,9745,9755,2,-575.0,0.0
1767079036217509076,9755,9780,0.08333333333333333,5,9765,9770,2,-540.0,0.0
1767079037198807975,9750,9775,0.125,5,9760,9765,2,-550.0,0.0
1767079037198807975,9750,9775,0.125,5,9760,9765,2,-550.0,0.0
1767079039196031985,9765,9780,0.9428571428571428,0,9780,9780,3,-537.5,0.0
1767079040195763102,9790,9800,-0.6428571428571429,0,9790,9790,2,-475.0,0.0
1767079041218816468,9790,9800,-0.5714285714285714,10,9790,9800,2,-475.0,0.0
1767079042221440198,9775,9790,0.3333333333333333,5,9780,9785,2,-500.0,0.0
1767079043221926156,9780,9800,-0.8208955223880597,0,9780,9780,1,-495.0,0.0
1767079044198301486,9780,9790,0.5,10,9780,9790,1,-500.0,0.0
1767079045212335346,9780,9800,-0.6,10,9785,9795,1,-495.0,0.0
1767079046177029109,9790,9800,-0.9166666666666666,0,9790,9790,0,-495.0,0.0
1767079047222324372,9790,9800,-0.7391304347826086,0,9790,9790,-1,-500.0,0.0
1767079048217284162,9805,9825,0.75,0,9825,9825,0,-530.0,0.0
1767079049220154490,9805,9820,0.7777777777777778,0,9820,9820,1,-537.5,0.0
1767079050223888967,9810,9830,0.5652173913043478,10,9815,9825,1,-530.0,0.0
1767079051220290909,9810,9830,-0.25,10,9815,9825,1,-530.0,0.0
1767079052219456732,9805,9820,0.8888888888888888,0,9820,9820,2,-545.0,0.0
1767079053217365823,9780,9810,-0.6551724137931034,-5,9785,9780,1,-595.0,0.0
1767079054204666206,9775,9795,0.0,5,9780,9785,1,-605.0,0.0
1767079055221537574,9795,9810,-0.2,5,9800,9805,1,-587.5,0.0
1767079056223407373,9800,9810,0.0,5,9800,9805,1,-585.0,0.0
1767079057223061179,9780,9810,0.5238095238095238,15,9790,9805,1,-595.0,0.0
1767079058211508931,9785,9795,0.3333333333333333,10,9785,9795,1,-600.0,0.0
1767079060218136916,9790,9800,-0.3333333333333333,10,9790,9800,1,-595.0,0.0
1767079061214706367,9775,9800,-0.047619047619047616,5,9785,9790,1,-602.5,0.0
1767079062220688574,9775,9795,0.6666666666666666,0,9795,9795,2,-615.0,0.0
1767079063221091904,9770,9795,-0.6,10,9775,9785,2,-620.0,0.0
1767079064176224974,9775,9795,-0.5,10,9780,9790,2,-615.0,0.0
1767079065212829149,9780,9800,0.6363636363636364,-5,9800,9795,3,-615.0,0.0
1767079066209601974,9790,9815,-0.3684210526315789,10,9795,9805,3,-577.5,0.0
1767079067191702921,9790,9800,-0.2,10,9790,9800,3,-600.0,0.0
1767079068210901363,9785,9800,0.16666666666666666,5,9790,9795,3,-607.5,0.0
1767079069221237567,9780,9805,0.12,5,9790,9795,3,-607.5,0.0
1767079070224113140,9775,9795,-0.6,10,9780,9790,3,-630.0,0.0
